VARIAVEL_PADRAO,ANO,VARIAVEL_ORIGINAL,STATUS_COMPATIBILIDADE,DESCRICAO_OFICIAL,OBSERVACAO
CO_MUNICIPIO,2022,CO_MUNICIPIO,COMPATIVEL,Código do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_MUNICIPIO,2023,CO_MUNICIPIO,COMPATIVEL,Código do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_MUNICIPIO,2024,CO_MUNICIPIO,COMPATIVEL,Código do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_MUNICIPIO,2025,CO_MUNICIPIO,COMPATIVEL,Código do Município,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_ENTIDADE,2021,NO_ENTIDADE,COMPATIVEL,Nome da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_ENTIDADE,2022,NO_ENTIDADE,COMPATIVEL,Nome da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_ENTIDADE,2023,NO_ENTIDADE,COMPATIVEL,Nome da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_ENTIDADE,2024,NO_ENTIDADE,COMPATIVEL,Nome da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
NO_ENTIDADE,2025,NO_ENTIDADE,COMPATIVEL,Nome da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_ENTIDADE,2021,CO_ENTIDADE,COMPATIVEL,Código da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_ENTIDADE,2022,CO_ENTIDADE,COMPATIVEL,Código da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_ENTIDADE,2023,CO_ENTIDADE,COMPATIVEL,Código da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_ENTIDADE,2024,CO_ENTIDADE,COMPATIVEL,Código da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
CO_ENTIDADE,2025,CO_ENTIDADE,COMPATIVEL,Código da Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_DEPENDENCIA,2021,TP_DEPENDENCIA,COMPATIVEL,Dependência Administrativa,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_DEPENDENCIA,2022,TP_DEPENDENCIA,COMPATIVEL,Dependência Administrativa,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_DEPENDENCIA,2023,TP_DEPENDENCIA,COMPATIVEL,Dependência Administrativa,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_DEPENDENCIA,2024,TP_DEPENDENCIA,COMPATIVEL,Dependência Administrativa,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_DEPENDENCIA,2025,TP_DEPENDENCIA,COMPATIVEL,Dependência Administrativa,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_LOCALIZACAO,2021,TP_LOCALIZACAO,COMPATIVEL,Localização,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_LOCALIZACAO,2022,TP_LOCALIZACAO,COMPATIVEL,Localização,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_LOCALIZACAO,2023,TP_LOCALIZACAO,COMPATIVEL,Localização,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_LOCALIZACAO,2024,TP_LOCALIZACAO,COMPATIVEL,Localização,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_LOCALIZACAO,2025,TP_LOCALIZACAO,COMPATIVEL,Localização,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_SITUACAO_FUNCIONAMENTO,2021,TP_SITUACAO_FUNCIONAMENTO,COMPATIVEL,Situação de funcionamento,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_SITUACAO_FUNCIONAMENTO,2022,TP_SITUACAO_FUNCIONAMENTO,COMPATIVEL,Situação de funcionamento,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_SITUACAO_FUNCIONAMENTO,2023,TP_SITUACAO_FUNCIONAMENTO,COMPATIVEL,Situação de funcionamento,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_SITUACAO_FUNCIONAMENTO,2024,TP_SITUACAO_FUNCIONAMENTO,COMPATIVEL,Situação de funcionamento,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
TP_SITUACAO_FUNCIONAMENTO,2025,TP_SITUACAO_FUNCIONAMENTO,COMPATIVEL,Situação de funcionamento,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_BAS,2021,QT_MAT_BAS,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Básica,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_BAS,2022,QT_MAT_BAS,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Básica,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_BAS,2023,QT_MAT_BAS,COMPATIVEL,Número de Matrículas da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_BAS,2024,QT_MAT_BAS,COMPATIVEL,Número de Matrículas da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_BAS,2025,QT_MAT_BAS,COMPATIVEL,Número de Matrículas da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DOC_BAS,2021,QT_DOC_BAS,COMPATIVEL,Número de Docentes da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DOC_BAS,2022,QT_DOC_BAS,COMPATIVEL,Número de Docentes da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DOC_BAS,2023,QT_DOC_BAS,COMPATIVEL,Número de Docentes da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DOC_BAS,2024,QT_DOC_BAS,COMPATIVEL,Número de Docentes da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DOC_BAS,2025,QT_DOC_BAS,COMPATIVEL,Número de Docentes da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_TUR_BAS,2021,QT_TUR_BAS,EQUIVALENCIA PARCIAL,Número de Turmas de Educação Básica,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_TUR_BAS,2022,QT_TUR_BAS,EQUIVALENCIA PARCIAL,Número de Turmas de Educação Básica,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_TUR_BAS,2023,QT_TUR_BAS,EQUIVALENCIA PARCIAL,Número de Turmas de Educação Básica,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_TUR_BAS,2024,QT_TUR_BAS,EQUIVALENCIA PARCIAL,Número de Turmas de Educação Básica,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_TUR_BAS,2025,QT_TUR_BAS,COMPATIVEL,Número de Turmas da Educação Básica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_INF_CRE,2021,QT_MAT_INF_CRE,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Infantil - Creche,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_INF_CRE,2022,QT_MAT_INF_CRE,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Infantil - Creche,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_INF_CRE,2023,QT_MAT_INF_CRE,COMPATIVEL,Número de Matrículas da Educação Infantil - Creche,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_INF_CRE,2024,QT_MAT_INF_CRE,COMPATIVEL,Número de Matrículas da Educação Infantil - Creche,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_INF_CRE,2025,QT_MAT_INF_CRE,COMPATIVEL,Número de Matrículas da Educação Infantil - Creche,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_INF_PRE,2021,QT_MAT_INF_PRE,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Infantil - Pré-Escola,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_INF_PRE,2022,QT_MAT_INF_PRE,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Infantil - Pré-Escola,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_INF_PRE,2023,QT_MAT_INF_PRE,COMPATIVEL,Número de Matrículas da Educação Infantil - Pré-Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_INF_PRE,2024,QT_MAT_INF_PRE,COMPATIVEL,Número de Matrículas da Educação Infantil - Pré-Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_INF_PRE,2025,QT_MAT_INF_PRE,COMPATIVEL,Número de Matrículas da Educação Infantil - Pré-Escola,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_FUND_AI,2021,QT_MAT_FUND_AI,EQUIVALENCIA PARCIAL,Número de Matrículas no Ensino Fundamental - Anos Iniciais,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_FUND_AI,2022,QT_MAT_FUND_AI,EQUIVALENCIA PARCIAL,Número de Matrículas no Ensino Fundamental - Anos Iniciais,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_FUND_AI,2023,QT_MAT_FUND_AI,COMPATIVEL,Número de Matrículas do Ensino Fundamental - Anos Iniciais,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_FUND_AI,2024,QT_MAT_FUND_AI,COMPATIVEL,Número de Matrículas do Ensino Fundamental - Anos Iniciais,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_FUND_AI,2025,QT_MAT_FUND_AI,COMPATIVEL,Número de Matrículas do Ensino Fundamental - Anos Iniciais,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_FUND_AF,2021,QT_MAT_FUND_AF,EQUIVALENCIA PARCIAL,Número de Matrículas no Ensino Fundamental - Anos Finais,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_FUND_AF,2022,QT_MAT_FUND_AF,EQUIVALENCIA PARCIAL,Número de Matrículas no Ensino Fundamental - Anos Finais,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_FUND_AF,2023,QT_MAT_FUND_AF,COMPATIVEL,Número de Matrículas do Ensino Fundamental - Anos Finais,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_FUND_AF,2024,QT_MAT_FUND_AF,COMPATIVEL,Número de Matrículas do Ensino Fundamental - Anos Finais,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_FUND_AF,2025,QT_MAT_FUND_AF,COMPATIVEL,Número de Matrículas do Ensino Fundamental - Anos Finais,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_MED,2021,QT_MAT_MED,EQUIVALENCIA PARCIAL,Número de Matrículas no Ensino Médio,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_MED,2022,QT_MAT_MED,EQUIVALENCIA PARCIAL,Número de Matrículas no Ensino Médio,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_MED,2023,QT_MAT_MED,EQUIVALENCIA PARCIAL,Número de Matrículas do Ensino Médio,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_MED,2024,QT_MAT_MED,EQUIVALENCIA PARCIAL,Número de Matrículas do Ensino Médio,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_MED,2025,QT_MAT_MED,COMPATIVEL,Número de Matrículas do Ensino Médio Regular,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_EJA,2021,QT_MAT_EJA,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação de Jovens e Adultos (EJA),Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_EJA,2022,QT_MAT_EJA,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação de Jovens e Adultos (EJA),Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_EJA,2023,QT_MAT_EJA,COMPATIVEL,Número de Matrículas da Educação de Jovens e Adultos (EJA),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_EJA,2024,QT_MAT_EJA,COMPATIVEL,Número de Matrículas da Educação de Jovens e Adultos (EJA),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_EJA,2025,QT_MAT_EJA,COMPATIVEL,Número de Matrículas da Educação de Jovens e Adultos (EJA),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_PROF,2021,QT_MAT_PROF,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Profissional,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_PROF,2022,QT_MAT_PROF,EQUIVALENCIA PARCIAL,Número de Matrículas na Educação Profissional,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_PROF,2023,QT_MAT_PROF,COMPATIVEL,Número de Matrículas da Educação Profissional,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_PROF,2024,QT_MAT_PROF,COMPATIVEL,Número de Matrículas da Educação Profissional,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_PROF,2025,QT_MAT_PROF,COMPATIVEL,Número de Matrículas da Educação Profissional,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_PROF_TEC,2021,QT_MAT_PROF_TEC,EQUIVALENCIA PARCIAL,"Número de Matrículas na Educação Profissional Técnica - Modo profissionalizante de ensino correspondente às turmas de cursos técnicos de nível médio nas formas articuladas (integrada ou concomitante), ou subsequente ao ensino médio e de normal/magistério",Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_PROF_TEC,2022,QT_MAT_PROF_TEC,EQUIVALENCIA PARCIAL,"Número de Matrículas na Educação Profissional Técnica - Modo profissionalizante de ensino correspondente às turmas de cursos técnicos de nível médio nas formas articuladas (integrada ou concomitante), ou subsequente ao ensino médio e de normal/magistério",Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_PROF_TEC,2023,QT_MAT_PROF_TEC,COMPATIVEL,Número de Matrículas da Educação Profissional Técnica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_MAT_PROF_TEC,2024,QT_MAT_PROF_TEC,EQUIVALENCIA PARCIAL,,Mesmo codigo; descricao/estrutura historica requer cautela.
QT_MAT_PROF_TEC,2025,QT_MAT_PROF_TEC,COMPATIVEL,Número de Matrículas da Educação Profissional Técnica,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS,2021,QT_SALAS_UTILIZADAS,COMPATIVEL,Número de salas de aula utilizadas na escola (dentro e fora do prédio),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS,2022,QT_SALAS_UTILIZADAS,COMPATIVEL,Número de salas de aula utilizadas na escola (dentro e fora do prédio),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS,2023,QT_SALAS_UTILIZADAS,COMPATIVEL,Número de salas de aula utilizadas na escola (dentro e fora do prédio),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS,2024,QT_SALAS_UTILIZADAS,COMPATIVEL,Número de salas de aula utilizadas na escola (dentro e fora do prédio),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS,2025,QT_SALAS_UTILIZADAS,COMPATIVEL,Número de salas de aula utilizadas na escola (dentro e fora do prédio),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZA_CLIMATIZADAS,2021,QT_SALAS_UTILIZA_CLIMATIZADAS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZA_CLIMATIZADAS,2022,QT_SALAS_UTILIZA_CLIMATIZADAS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZA_CLIMATIZADAS,2023,QT_SALAS_UTILIZA_CLIMATIZADAS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZA_CLIMATIZADAS,2024,QT_SALAS_UTILIZA_CLIMATIZADAS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZA_CLIMATIZADAS,2025,QT_SALAS_UTILIZA_CLIMATIZADAS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS_ACESSIVEIS,2021,QT_SALAS_UTILIZADAS_ACESSIVEIS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS_ACESSIVEIS,2022,QT_SALAS_UTILIZADAS_ACESSIVEIS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS_ACESSIVEIS,2023,QT_SALAS_UTILIZADAS_ACESSIVEIS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS_ACESSIVEIS,2024,QT_SALAS_UTILIZADAS_ACESSIVEIS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_SALAS_UTILIZADAS_ACESSIVEIS,2025,QT_SALAS_UTILIZADAS_ACESSIVEIS,COMPATIVEL,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DESKTOP_ALUNO,2021,QT_DESKTOP_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DESKTOP_ALUNO,2022,QT_DESKTOP_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DESKTOP_ALUNO,2023,QT_DESKTOP_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DESKTOP_ALUNO,2024,QT_DESKTOP_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_DESKTOP_ALUNO,2025,QT_DESKTOP_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador de mesa (desktop),Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_COMP_PORTATIL_ALUNO,2021,QT_COMP_PORTATIL_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador portátil,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_COMP_PORTATIL_ALUNO,2022,QT_COMP_PORTATIL_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador portátil,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_COMP_PORTATIL_ALUNO,2023,QT_COMP_PORTATIL_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador portátil,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_COMP_PORTATIL_ALUNO,2024,QT_COMP_PORTATIL_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador portátil,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_COMP_PORTATIL_ALUNO,2025,QT_COMP_PORTATIL_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Computador portátil,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_TABLET_ALUNO,2021,QT_TABLET_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Tablet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_TABLET_ALUNO,2022,QT_TABLET_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Tablet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_TABLET_ALUNO,2023,QT_TABLET_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Tablet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_TABLET_ALUNO,2024,QT_TABLET_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Tablet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
QT_TABLET_ALUNO,2025,QT_TABLET_ALUNO,COMPATIVEL,Quantidade de computadores em uso pelos alunos - Tablet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_INTERNET,2021,IN_INTERNET,COMPATIVEL,Acesso à Internet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_INTERNET,2022,IN_INTERNET,COMPATIVEL,Acesso à Internet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_INTERNET,2023,IN_INTERNET,COMPATIVEL,Acesso à Internet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_INTERNET,2024,IN_INTERNET,COMPATIVEL,Acesso à Internet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_INTERNET,2025,IN_INTERNET,COMPATIVEL,Acesso à Internet,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_BANDA_LARGA,2021,IN_BANDA_LARGA,COMPATIVEL,Internet Banda Larga,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_BANDA_LARGA,2022,IN_BANDA_LARGA,COMPATIVEL,Internet Banda Larga,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
IN_BANDA_LARGA,2023,IN_BANDA_LARGA,COMPATIVEL,Internet Banda Larga,Mesmo codigo e descricao oficial equivalente ao ano de referencia.
